country_lb,country_id,pct_noturban,se_noturban,pct_urban,se_urban,year
ALB,8,67.99011548,3.675252159,32.00988452,3.675252159,2015
DZA,12,83.05106978,2.849088077,16.94893022,2.849088077,2015
AZE,31,,,,,2015
ARG,32,,,,,2015
AUS,36,32.44234574,1.334204484,67.55765426,1.334204484,2015
AUT,40,66.53932461,2.484482226,33.46067539,2.484482226,2015
BEL,56,69.96424446,2.981179201,30.03575554,2.981179201,2015
BRA,76,50.54115529,2.380563819,49.45884471,2.380563819,2015
BGR,100,60.32633715,2.151338369,39.67366285,2.151338369,2015
CAN,124,46.71540354,2.42721796,53.28459646,2.42721796,2015
CHL,152,34.44722681,3.356808011,65.55277319,3.356808011,2015
QCN,156,,,,,2015
TAP,158,40.08173396,3.02868596,59.91826604,3.02868596,2015
COL,170,49.98752976,3.167075328,50.01247024,3.167075328,2015
CRI,188,87.73003977,2.314262422,12.26996023,2.314262422,2015
HRV,191,60.59314831,2.203290726,39.40685169,2.203290726,2015
CZE,203,75.68284968,2.07553633,24.31715032,2.07553633,2015
DNK,208,82.50505696,2.244079197,17.49494304,2.244079197,2015
DOM,214,75.95317711,3.456497909,24.04682289,3.456497909,2015
EST,233,70.98653304,1.367273489,29.01346696,1.367273489,2015
FIN,246,72.26827929,3.255271502,27.73172071,3.255271502,2015
FRA,250,70.35019337,2.800308196,29.64980663,2.800308196,2015
GEO,268,59.49263377,2.08285009,40.50736623,2.08285009,2015
DEU,276,71.61956248,3.121233341,28.38043752,3.121233341,2015
GRC,300,68.33150186,2.762597814,31.66849814,2.762597814,2015
HKG,344,0,,100,,2015
HUN,348,55.1695737,3.319923778,44.8304263,3.319923778,2015
ISL,352,70.41660012,0.171493567,29.58339988,0.171493567,2015
QHP,356,,,,,2015
IDN,360,85.82239979,1.972022022,14.17760021,1.972022022,2015
IRL,372,70.81165031,3.34889999,29.18834969,3.34889999,2015
ISR,376,62.40489536,3.233838882,37.59510464,3.233838882,2015
ITA,380,71.4504591,2.749133852,28.5495409,2.749133852,2015
JPN,392,27.6261966,3.113396479,72.3738034,3.113396479,2015
KAZ,398,,,,,2015
JOR,400,66.15107264,2.985450062,33.84892736,2.985450062,2015
KOR,410,14.78656326,2.143169395,85.21343674,2.143169395,2015
KSV,411,74.12644197,0.972727349,25.87355803,0.972727349,2015
KGZ,417,,,,,2015
LBN,422,78.35995363,2.728002305,21.64004637,2.728002305,2015
LVA,428,70.43719804,1.181421445,29.56280196,1.181421445,2015
LIE,438,,,,,2015
LTU,440,62.13010806,0.826363088,37.86989194,0.826363088,2015
LUX,442,56.69289742,0.10622679,43.30710258,0.10622679,2015
MAC,446,0,,99.55624586,0.031310565,2015
MYS,458,,,,,2015
MLT,470,100,,0,,2015
MUS,480,,,,,2015
MEX,484,52.43698804,2.700998677,47.56301196,2.700998677,2015
MDA,498,81.42938299,1.749966856,18.57061701,1.749966856,2015
MNE,499,67.90053938,0.335524533,32.09946062,0.335524533,2015
NLD,528,73.08458066,4.288537994,26.91541934,4.288537994,2015
NZL,554,46.54956458,3.443995885,53.45043542,3.443995885,2015
NOR,578,80.0329874,2.889695274,19.9670126,2.889695274,2015
PAN,591,,,,,2015
PER,604,86.42624072,2.072420083,13.57375928,2.072420083,2015
POL,616,74.4452545,1.585004625,25.5547455,1.585004625,2015
PRT,620,80.46219532,2.376938055,19.53780468,2.376938055,2015
QUD,630,0,,0,,2015
QAT,634,49.88762572,0.110346827,50.11237428,0.110346827,2015
ROU,642,69.807751,3.50673435,30.192249,3.50673435,2015
RUS,643,49.20755879,2.205901574,50.79244121,2.205901574,2015
SRB,688,,,,,2015
SGP,702,0,,100,,2015
SVK,703,87.6280578,1.693081547,12.3719422,1.693081547,2015
VNM,704,74.44593356,3.242832324,25.55406644,3.242832324,2015
SVN,705,73.02760904,0.207308389,26.97239096,0.207308389,2015
ESP,724,65.97826498,3.211349304,34.02173502,3.211349304,2015
SWE,752,0,,0,,2015
CHE,756,80.95834745,2.55225649,19.04165255,2.55225649,2015
THA,764,79.66755894,3.021638037,20.33244106,3.021638037,2015
TTO,780,100,,0,,2015
ARE,784,35.81270599,2.515368763,64.18729401,2.515368763,2015
TUN,788,71.38960042,3.442564631,28.61039958,3.442564631,2015
TUR,792,39.23906412,3.883605268,60.76093588,3.883605268,2015
MKD,807,60.93327489,0.178577422,39.06672511,0.178577422,2015
GBR,826,75.78300362,2.926412492,24.21699638,2.926412492,2015
USA,840,61.11282212,3.40297964,38.88717788,3.40297964,2015
URY,858,60.67668604,2.491296963,39.32331396,2.491296963,2015
QVE,862,,,,,2015
QCH,970,62.44932929,3.330101861,37.55067071,3.330101861,2015
QES,971,63.00884034,1.839933109,36.99115966,1.839933109,2015
QUC,972,0,,0,,2015
QUE,973,0,,0,,2015
QAR,974,0,,96.13595377,2.269097838,2015
ALB,8,71.60363025,3.325997763,28.39636975,3.325997763,2012
DZA,12,,,,,2012
AZE,31,,,,,2012
ARG,32,62.67055631,3.514189175,37.32944369,3.514189175,2012
AUS,36,34.92470907,1.27650521,65.07529093,1.27650521,2012
AUT,40,64.42610894,2.961589585,35.57389106,2.961589585,2012
BEL,56,77.37530226,2.510810488,22.62469774,2.510810488,2012
BRA,76,52.49265349,2.139987351,47.50734651,2.139987351,2012
BGR,100,63.76797798,2.18612046,36.23202202,2.18612046,2012
CAN,124,45.51570668,2.042957857,54.48429332,2.042957857,2012
CHL,152,42.06892515,3.786030329,57.93107485,3.786030329,2012
QCN,156,0,,100,,2012
TAP,158,38.23500135,2.839085051,61.76499865,2.839085051,2012
COL,170,44.44432067,3.743891544,55.55567933,3.743891544,2012
CRI,188,85.27453046,2.601724216,14.72546954,2.601724216,2012
HRV,191,63.01545729,1.621090981,36.98454271,1.621090981,2012
CZE,203,73.33631949,2.853505167,26.66368051,2.853505167,2012
DNK,208,84.53822599,2.486031064,15.46177401,2.486031064,2012
DOM,214,,,,,2012
EST,233,69.79804889,0.659802403,30.20195111,0.659802403,2012
FIN,246,73.13063643,2.492870091,26.86936357,2.492870091,2012
FRA,250,76.57473551,2.801245578,23.42526449,2.801245578,2012
GEO,268,,,,,2012
DEU,276,72.57045787,3.105651434,27.42954213,3.105651434,2012
GRC,300,70.55288208,2.908339957,29.44711792,2.908339957,2012
HKG,344,0,,100,,2012
HUN,348,61.25820979,4.062360916,38.74179021,4.062360916,2012
ISL,352,68.91852244,0.142941925,31.08147756,0.142941925,2012
QHP,356,,,,,2012
IDN,360,79.56605114,3.588925506,20.43394886,3.588925506,2012
IRL,372,73.29185711,3.111334062,26.70814289,3.111334062,2012
ISR,376,61.17657743,3.668962525,38.82342257,3.668962525,2012
ITA,380,69.50716275,1.899934798,30.49283725,1.899934798,2012
JPN,392,27.38616623,2.732994666,72.61383377,2.732994666,2012
KAZ,398,56.7568188,3.236916835,43.2431812,3.236916835,2012
JOR,400,57.37831432,2.987795807,42.62168568,2.987795807,2012
KOR,410,13.86821572,1.807603664,86.13178428,1.807603664,2012
KSV,411,,,,,2012
KGZ,417,,,,,2012
LBN,422,,,,,2012
LVA,428,68.44411921,1.961016325,31.55588079,1.961016325,2012
LIE,438,100,,0,,2012
LTU,440,62.51029316,1.051642499,37.48970684,1.051642499,2012
LUX,442,100,,0,,2012
MAC,446,0,,99.739098,0.000299792,2012
MYS,458,73.11958391,3.298680928,26.88041609,3.298680928,2012
MLT,470,,,,,2012
MUS,480,,,,,2012
MEX,484,57.16142075,1.690533156,42.83857925,1.690533156,2012
MDA,498,,,,,2012
MNE,499,69.81810324,0.112881718,30.18189676,0.112881718,2012
NLD,528,72.19371027,4.26769904,27.80628973,4.26769904,2012
NZL,554,44.18263255,3.380549417,55.81736745,3.380549417,2012
NOR,578,79.19711286,2.910856396,20.80288714,2.910856396,2012
PAN,591,,,,,2012
PER,604,59.13589679,3.207507355,40.86410321,3.207507355,2012
POL,616,79.08788231,0.74711339,20.91211769,0.74711339,2012
PRT,620,77.88033266,3.679215152,22.11966734,3.679215152,2012
QUD,630,,,,,2012
QAT,634,52.02645006,0.099884501,47.97354994,0.099884501,2012
ROU,642,65.36634865,3.501719527,34.63365135,3.501719527,2012
RUS,643,53.65523845,2.588967786,46.34476155,2.588967786,2012
SRB,688,58.49550967,3.633871859,41.50449033,3.633871859,2012
SGP,702,0,,100,,2012
SVK,703,86.3424521,1.837646224,13.6575479,1.837646224,2012
VNM,704,75.28791274,2.994083599,24.71208726,2.994083599,2012
SVN,705,60.76137891,0.668507589,39.23862109,0.668507589,2012
ESP,724,62.29361894,2.36203938,37.70638106,2.36203938,2012
SWE,752,73.97635559,2.46788642,26.02364441,2.46788642,2012
CHE,756,82.29239485,2.565383586,17.70760515,2.565383586,2012
THA,764,68.08672654,3.293881888,31.91327346,3.293881888,2012
TTO,780,,,,,2012
ARE,784,39.48178546,2.168704315,60.51821454,2.168704315,2012
TUN,788,76.4350544,3.186515892,23.5649456,3.186515892,2012
TUR,792,43.61524224,4.387905306,56.38475776,4.387905306,2012
MKD,807,,,,,2012
GBR,826,71.82402768,2.949693037,28.17597232,2.949693037,2012
USA,840,63.34385124,3.572032767,36.65614876,3.572032767,2012
URY,858,63.51852312,2.760154828,36.48147688,2.760154828,2012
QVE,862,,,,,2012
QCH,970,,,,,2012
QES,971,,,,,2012
QUC,972,,,,,2012
QUE,973,,,,,2012
QAR,974,,,,,2012
ALB,8,72.82808404,3.306165988,27.17191596,3.306165988,2009
DZA,12,,,,,2009
AZE,31,58.84676835,2.494198664,41.15323165,2.494198664,2009
ARG,32,57.80395505,4.180388704,42.19604495,4.180388704,2009
AUS,36,35.01654368,1.997952248,64.98345632,1.997952248,2009
AUT,40,68.45835669,2.391055271,31.54164331,2.391055271,2009
BEL,56,76.89333718,2.608865177,23.10666282,2.608865177,2009
BRA,76,50.14663479,2.799891454,49.85336521,2.799891454,2009
BGR,100,61.63614632,3.291589902,38.36385368,3.291589902,2009
CAN,124,50.21641464,2.223067159,49.78358536,2.223067159,2009
CHL,152,37.24404679,3.837799544,62.75595321,3.837799544,2009
QCN,156,0,,100,,2009
TAP,158,39.03050368,3.077682742,60.96949632,3.077682742,2009
COL,170,52.57587475,3.865534836,47.42412525,3.865534836,2009
CRI,188,82.28388053,2.581092103,17.71611947,2.581092103,2009
HRV,191,63.55678123,1.07574427,36.44321877,1.07574427,2009
CZE,203,81.16255413,2.419373955,18.83744587,2.419373955,2009
DNK,208,84.98973176,2.08847444,15.01026824,2.08847444,2009
DOM,214,,,,,2009
EST,233,73.70542193,1.571777774,26.29457807,1.571777774,2009
FIN,246,74.18821516,3.100328685,25.81178484,3.100328685,2009
FRA,250,0,,0,,2009
GEO,268,66.69205826,3.236027912,33.30794174,3.236027912,2009
DEU,276,76.12310968,2.700608663,23.87689032,2.700608663,2009
GRC,300,74.36462897,3.002904272,25.63537103,3.002904272,2009
HKG,344,0,,100,,2009
HUN,348,58.72413406,3.51446773,41.27586594,3.51446773,2009
ISL,352,70.36511898,0.200981778,29.63488102,0.200981778,2009
QHP,356,83.35419083,3.26027477,16.64580917,3.26027477,2009
IDN,360,80.04012026,3.724434903,19.95987974,3.724434903,2009
IRL,372,74.29923317,3.760464894,25.70076683,3.760464894,2009
ISR,376,55.08138126,3.352969545,44.91861874,3.352969545,2009
ITA,380,68.51335965,1.961160564,31.48664035,1.961160564,2009
JPN,392,30.58725833,2.754633071,69.41274167,2.754633071,2009
KAZ,398,60.68945326,2.733942723,39.31054674,2.733942723,2009
JOR,400,59.86889164,2.991542098,40.13110836,2.991542098,2009
KOR,410,14.1294566,2.735975701,85.8705434,2.735975701,2009
KSV,411,,,,,2009
KGZ,417,85.15112126,1.178383495,14.84887874,1.178383495,2009
LBN,422,,,,,2009
LVA,428,72.81963042,1.509306925,27.18036958,1.509306925,2009
LIE,438,100,,0,,2009
LTU,440,64.22583266,0.9461333,35.77416734,0.9461333,2009
LUX,442,96.90905118,0.036867624,0,,2009
MAC,446,0,,100,,2009
MYS,458,66.62972776,3.597415329,33.37027224,3.597415329,2009
MLT,470,100,,0,,2009
MUS,480,92.96584033,0.090062711,7.034159672,0.090062711,2009
MEX,484,54.42028489,1.771850919,45.57971511,1.771850919,2009
MDA,498,82.57649562,1.844230516,17.42350438,1.844230516,2009
MNE,499,70.08962319,1.184190293,29.91037681,1.184190293,2009
NLD,528,72.13833975,3.418624157,27.86166025,3.418624157,2009
NZL,554,44.42869386,2.927986808,55.57130614,2.927986808,2009
NOR,578,82.1458785,2.770455417,17.8541215,2.770455417,2009
PAN,591,68.64494009,3.980519043,31.35505991,3.980519043,2009
PER,604,62.15625914,2.943317911,37.84374086,2.943317911,2009
POL,616,77.59658354,0.467594055,22.40341646,0.467594055,2009
PRT,620,78.39090786,2.818640364,21.60909214,2.818640364,2009
QUD,630,,,,,2009
QAT,634,57.99458193,0.108812281,42.00541807,0.108812281,2009
ROU,642,62.95931722,4.556474923,37.04068278,4.556474923,2009
RUS,643,53.94900502,2.855351409,46.05099498,2.855351409,2009
SRB,688,51.72166424,3.020075772,48.27833576,3.020075772,2009
SGP,702,0,,100,,2009
SVK,703,82.61756039,2.539589867,17.38243961,2.539589867,2009
VNM,704,,,,,2009
SVN,705,63.06064033,0.304304649,36.93935967,0.304304649,2009
ESP,724,64.50209256,2.00859384,35.49790744,2.00859384,2009
SWE,752,74.58794581,2.656864307,25.41205419,2.656864307,2009
CHE,756,86.3170211,1.928780182,13.6829789,1.928780182,2009
THA,764,75.04566976,2.805509178,24.95433024,2.805509178,2009
TTO,780,100,,0,,2009
ARE,784,45.05102995,2.137001944,54.94897005,2.137001944,2009
TUN,788,81.10947184,3.066913578,18.89052816,3.066913578,2009
TUR,792,40.75190889,3.890072381,59.24809111,3.890072381,2009
MKD,807,,,,,2009
GBR,826,68.44004173,3.117028735,31.55995827,3.117028735,2009
USA,840,61.4952719,2.833667641,38.5047281,2.833667641,2009
URY,858,56.4086884,2.327737603,43.5913116,2.327737603,2009
QVE,862,42.73560145,4.504426546,57.26439855,4.504426546,2009
QCH,970,,,,,2009
QES,971,,,,,2009
QUC,972,,,,,2009
QUE,973,,,,,2009
QAR,974,,,,,2009
ALB,8,,,,,2006
DZA,12,,,,,2006
AZE,31,78.97290987,2.680845523,21.02709013,2.680845523,2006
ARG,32,59.30553775,3.72417525,40.69446225,3.72417525,2006
AUS,36,39.45619258,2.28875066,60.54380742,2.28875066,2006
AUT,40,67.62834695,3.011332679,32.37165305,3.011332679,2006
BEL,56,79.12054481,2.900735007,20.87945519,2.900735007,2006
BRA,76,59.4854811,2.635389226,40.5145189,2.635389226,2006
BGR,100,65.22761459,2.0339868,34.77238541,2.0339868,2006
CAN,124,55.07138036,2.198228217,44.92861964,2.198228217,2006
CHL,152,40.69718892,4.168254988,59.30281108,4.168254988,2006
QCN,156,,,,,2006
TAP,158,34.41727507,3.16919297,65.58272493,3.16919297,2006
COL,170,51.31859161,4.412028684,48.68140839,4.412028684,2006
CRI,188,,,,,2006
HRV,191,63.53501627,1.37836454,36.46498373,1.37836454,2006
CZE,203,80.85508128,3.112716448,19.14491872,3.112716448,2006
DNK,208,87.59478176,2.677774788,12.40521824,2.677774788,2006
DOM,214,,,,,2006
EST,233,71.93108091,1.873063869,28.06891909,1.873063869,2006
FIN,246,79.19491487,3.008500346,20.80508513,3.008500346,2006
FRA,250,0,,0,,2006
GEO,268,,,,,2006
DEU,276,76.34196281,2.810889996,23.65803719,2.810889996,2006
GRC,300,65.63177776,3.28158827,34.36822224,3.28158827,2006
HKG,344,0,,0,,2006
HUN,348,56.70673501,3.97646972,43.29326499,3.97646972,2006
ISL,352,66.5030942,0.116476458,33.4969058,0.116476458,2006
QHP,356,,,,,2006
IDN,360,81.62718888,4.557419942,18.37281112,4.557419942,2006
IRL,372,72.9154968,3.321020897,27.0845032,3.321020897,2006
ISR,376,55.48978066,4.56060997,44.51021934,4.56060997,2006
ITA,380,71.52199486,2.29637544,28.47800514,2.29637544,2006
JPN,392,34.90585146,3.54358616,65.09414854,3.54358616,2006
KAZ,398,,,,,2006
JOR,400,60.27773711,3.255272596,39.72226289,3.255272596,2006
KOR,410,15.00993363,1.39574934,84.99006637,1.39574934,2006
KSV,411,,,,,2006
KGZ,417,86.29097649,1.25263329,13.70902351,1.25263329,2006
LBN,422,,,,,2006
LVA,428,67.12033466,2.099078731,32.87966534,2.099078731,2006
LIE,438,100,,0,,2006
LTU,440,61.24367892,1.444288723,38.75632108,1.444288723,2006
LUX,442,90.71597724,0.02252375,0,,2006
MAC,446,16.76820416,0.0752793,83.23179584,0.0752793,2006
MYS,458,,,,,2006
MLT,470,,,,,2006
MUS,480,,,,,2006
MEX,484,51.13122946,2.466452457,48.86877054,2.466452457,2006
MDA,498,,,,,2006
MNE,499,66.30404903,0.138760382,33.69595097,0.138760382,2006
NLD,528,74.12129059,3.395702207,25.87870941,3.395702207,2006
NZL,554,46.43623936,3.094687912,53.56376064,3.094687912,2006
NOR,578,88.41227246,2.267563129,11.58772754,2.267563129,2006
PAN,591,,,,,2006
PER,604,,,,,2006
POL,616,76.16606127,0.692951207,23.83393873,0.692951207,2006
PRT,620,78.39420523,3.289118948,21.60579477,3.289118948,2006
QUD,630,,,,,2006
QAT,634,74.07092422,0.101682246,25.92907578,0.101682246,2006
ROU,642,49.90389108,5.482132554,50.09610892,5.482132554,2006
RUS,643,59.8399541,3.089382241,40.1600459,3.089382241,2006
SRB,688,60.91628129,2.798290919,39.08371871,2.798290919,2006
SGP,702,,,,,2006
SVK,703,86.33941892,2.531249707,13.66058108,2.531249707,2006
VNM,704,,,,,2006
SVN,705,62.75847349,0.172066872,37.24152651,0.172066872,2006
ESP,724,61.02681216,3.143376496,38.97318784,3.143376496,2006
SWE,752,78.42188058,2.122134436,21.57811942,2.122134436,2006
CHE,756,87.10289956,1.529239092,12.89710044,1.529239092,2006
THA,764,74.4741463,2.922065619,25.5258537,2.922065619,2006
TTO,780,,,,,2006
ARE,784,,,,,2006
TUN,788,83.12323879,3.423753426,16.87676121,3.423753426,2006
TUR,792,50.24724713,3.433531329,49.75275287,3.433531329,2006
MKD,807,,,,,2006
GBR,826,68.46451678,3.221302166,31.53548322,3.221302166,2006
USA,840,65.68848178,3.529803613,34.31151822,3.529803613,2006
URY,858,59.27782806,1.952846182,40.72217194,1.952846182,2006
QVE,862,,,,,2006
QCH,970,,,,,2006
QES,971,,,,,2006
QUC,972,,,,,2006
QUE,973,,,,,2006
QAR,974,,,,,2006
